Date,Location,Deaths,Injuries,Description
"February 8, 1968","Orangeburg, South Carolina",3,27,"In the days leading up to February 8, 1968, about two hundred mostly student civil rights protesters gathered on the campus of South Carolina State University to protest the continued racial segregation of the All Star Bowling Lane after passage in 1964 of federal legislation prohibiting such action. That night, students started a bonfire. As police attempted to put out the fire, an officer was struck and injured by an object. Police later said they believed they were under attack by small weapons fire. The officers fired into the crowd, killing 18-year-old Samuel Hammond Jr., 17-year-old Delano Herman Middleton, and 19-year-old Henry Ezekial Smith, and wounding twenty-seven others.[136][142]"
"March 25, 1968","High Point, North Carolina",1,0,"15-year-old David Lee Walker, was killed just outside Central High School, by 15-year-old Gerald Locklear.[143]"
"May 22, 1968","Miami, Florida",0,2,"Ernest Lee Grissom, a 15-year-old student at Drew Junior High School, seriously wounded a teacher and a 13-year-old student after he had been reprimanded for behavior.[144]"
"January 17, 1969","Los Angeles, California",2,0,"Alprentice Carter and John Huggins, two student members of the Black Panther Party, were fatally shot during a student meeting inside Campbell Hall at the University of California, Los Angeles. Reportedly there was disagreement over who would control the school's African American Studies Center. The shooter, Claude Hubert, was never found; three other men were later arrested in connection with the shooting.[145]"
"January 23, 1969","Washington, D.C.",1,0,"45-year-old Cardozo Senior High School assistant principal, Herman Clifford, was killed in the school's hallway, by 18-year-old Ronald Joyner, while trying to stop him and two other youths who had robbed the school's bank.[146]"
"May 13, 1969","Winston-Salem, North Carolina",1,0,"13-year-old Ernest Napoleon Carter Jr. was accidentally killed, by a 13-year-old classmate at Hanes Junior High School who was armed with a pistol. The shooter was charged with involuntary manslaughter. Carter's mother filed a lawsuit against the Winston-Salem/Forsyth County Board of Education for $50,000 in damages.[147]"
"November 19, 1969","Tomah, Wisconsin",1,0,"46-year-old Martin Mogensen, principal of Tomah Junior High School, was killed in his office by a 14-year-old boy.[148]"
"January 5, 1970","Washington, D.C.",1,1,"15-year-old Tyrone Perry, was killed at Hine Junior High School.[149]"
"February 11, 1970","Philadelphia, Pennsylvania",1,2,"University of Pennsylvania professors, 40-year-old Walter Koppelman, and 45-year-old Oscar Goldman, were shot by 33-year-old disgruntled graduate student, Robert Cantor, during a seminar. Cantor then took his own life. Koppelman died March 5 from his injuries, but Goldman recovered.[150]"
"May 4, 1970","Kent, Ohio",4,9,"Kent State shootings: During protests of the Vietnam War at Kent State University, armed National Guard Soldiers opened fire on unarmed students, killing four people.[136][151][152]"
"May 15, 1970","Jackson, Mississippi",2,12,Jackson State killings: Two students were killed and twelve others injured when police opened fire on students gathered to protest the US military presence in Cambodia.[153][154][155]
"November 20, 1970","Chicago, Illinois",0,2,"Two students were shot while standing in a second floor hallway of Harlan High School. 15-year-old Kenneth House, was shot in the lower left abdomen, his condition was described as serious. 14-year-old Portia Walls, suffered a superficial wound on her lower back. The incident was thought to have involved gang recruiting in the school.[156]"
"February 2, 1971","Philadelphia, Pennsylvania",1,0,"56-year-old teacher, Samson L. Freedman, was killed as he left Morris E. Leeds School, by 14-year-old student, Kevin Simmons. Freedman had suspended Simmons earlier in the day for cursing in the hallway.[157]"
"November 11, 1971","Spokane, Washington",2,4,"21-year-old former MIT student, Larry J. Harmon, armed with a rifle, killed 68-year-old caretaker, Hilary Kunzon, who came upon him wrecking St. Aloysius Roman Catholic Church, then fled onto the campus of Gonzaga University, where he wounded four more people before police officers killed him. Harmon was described by his father as a religious fanatic claiming to have visions.[158]"
"February 26, 1973","Richmond, Virginia",1,0,"17-year-old Wayne Phillips, was killed when he was caught between two youths who were fighting in the hallway of Armstrong High School.[159]"
"November 6, 1973","Oakland, California",1,1,"School superintendent Marcus Foster, was killed and his assistant Robert Blackburn, was wounded when members of the Symbionese Liberation Army opened fire on them as they exited a school board meeting. Two members of the SLA were later arrested and convicted of the crime. Both were sentenced to life in prison without the possibility of parole. The SLA had reportedly believed that Foster supported a measure to install police on school grounds and make students carry identification cards. In reality, Foster opposed both measures.[160]"
"January 17, 1974","Chicago, Illinois",1,0,"52-year-old elementary school principal, Rudolph Jezek Jr., was killed in his office by 14-year-old Steven Guy, a former student said to be angry about being transferred to a social adjustment center.[161]"
"March 22, 1974","Brownstown, Indiana",1,0,"48-year-old Jessie Blevins, athletic director at Brownstown Central High School, was fatally shot in the school parking lot by a 17-year-old student waiting for him. He gave the police no motive.[162]"
"October 4, 1974","Kent, Ohio",0,1,"19-year-old McKeesport student, Ray D. Gilmore, was wounded in a scuffle with two men in his third floor campus dormitory room. 26-year-old Benjamin F. Goodman and 22-year-old Carl Bell, who were not students, had their .32 caliber pistols taken and were wrestled to the floor by other students.[163]"
"December 30, 1974","Olean, New York",3,11,"During a two-and-a-half-hour siege, 18-year-old honor student, Anthony Barbaro, the best on his rifle team, killed three adults in and around his high school and wounded eleven other persons.[155][164] He shot from the windows out at the street and neighborhood. The school was closed for the Christmas holiday.[165]"
"February 24, 1975","Penns Grove, New Jersey",1,1,"24-year-old David Gary killed the 33-year-old Reverend Thomas Quinlan, inside a classroom at St. James School. Quinlan was the school's principal. A teacher was also wounded.[166]"
"March 18, 1975","St. Louis, Missouri",1,0,"16-year-old Stephen Goods, a bystander, was killed during a fight between other teens. Three youths were convicted for the homicide.[164]"
"September 11, 1975","Oklahoma City, Oklahoma",1,5,"Student James Briggs killed fellow student Randy Truitt at Grant High School, wounding several others.[167]"
"February 12, 1976","Detroit, Michigan",0,5,"Intruders entered Murray-Wright High School, shooting and wounding five students after an apparent dispute over a girlfriend of one of the intruders.[168]"
"July 12, 1976","Fullerton, California",7,2,"The gunman, 37-year-old Edward Charles Allaway, was a custodian at the California State University, Fullerton library. Allaway killed seven people and wounded two others in the library's first-floor lobby and at the building's Instructional Media Center (IMC), located in the basement."
"November 10, 1976","Detroit, Michigan",1,0,"46-year-old Al Lewis, killed his estranged wife, 46-year-old Betty McCaster, as she was teaching thirty-six 6-and-7-year-old students at Burt Elementary School.[169]"
"April 7, 1977","Whitharral, Texas",1,0,"High School principal, M. O. Tripp, was killed on the front steps of the school by 17-year-old student, Ricardo Lopez, for unknown reasons.[170]"
"January 11, 1978","Hopkinsville, Kentucky",0,1,"At 8:10 a.m., 13-year-old student, Andre Davis, was wounded while watching a fight between two students in the front lobby of Christian County Middle School, one of whom had a gun. A 16-year-old was charged with the assault.[171]"
"February 9, 1978","St. Albans, West Virginia",1,0,"14-year-old Hayes Junior High School student, Stuart Wayne Perrock, killed 14-year-old schoolmate, Arthur Clinton Smith.[172]"
"February 22, 1978","Lansing, Michigan",1,1,"After being taunted for his beliefs, 15-year-old Roger Needham, self-proclaimed Nazi, killed one student and wounded a second with a pistol at Everett High School.[164][173]"
"April 26, 1978","Dallas, Texas",1,0,"38-year-old Woodrow Porter, a janitor at Paul Dunbar Elementary School, was killed by the 56-year-old grandmother of an 8-year-old who was allegedly spanked by Porter earlier.[174]"
"May 18, 1978","Austin, Texas",1,0,"13-year-old John Daniel Christian, son of Lyndon B. Johnson's former press secretary George Christian, killed his English teacher, 29-year-old Wilbur Grayson, with his father's rifle in front of approximately thirty classmates at Murchison Junior High School.[155][164] Christian was arrested and charged but not prosecuted; he was committed to a mental hospital where he was treated for a period and released.[175]"
"October 17, 1978","University City, Missouri",0,4,"18-year-old Larry Ward and two companions were escorted from the halls of University City High School following a fight with 18-year-old student, Carl Triplett. Ward ran back into the building with a gun and fired shots into a group, critically injuring Triplett in the chest and hip, and wounding 17-year-old Angela Darden and 16-year-old Jennifer Pride. Ward sustained a head injury as he was tackled by assistant principal, Franklin McCallie. His companions grabbed the gun and fled.[176]"
"October 17, 1978","Lanett, Alabama",1,0,"13-year-old Robin Robinson, was paddled by Lanett Junior High School principal, Lewis Hoggs, after having a disagreement with another student. Robinson left the school, and returned with a .22-caliber handgun and shot Hoggs, grazing the top of his head.[155][177][178] Robinson was arrested two hours later about two blocks from the school, and later charged in juvenile court.[175][179][180]"
"January 29, 1979","San Diego, California",2,9,"Cleveland Elementary School shooting: 16-year-old Brenda Spencer opened fire on Grover Cleveland Elementary School from her home across the street, killing two adults and wounding nine people.[164][181][182][183][184][185]"
"April 16, 1979","Milwaukee, Wisconsin",0,1,"17-year-old Timothy Stahle was critically wounded in the leg and upper thigh, with shot gun pellets, as he threw rocks at the windows of Wisconsin Lutheran High School. 28-year-old school janitor, Kenneth B. Stein, was arrested.[186]"
"September 28, 1979","Charlestown, Massachusetts",0,1,"15-year-old sophomore, Darryl Williams, was shot in the neck by a sniper during the half-time interval, while standing with teammates and coach in the end zone of the Charlestown High School football field. The player for the predominantly black Jamaica Plain High School team was left paralysed. A racial motivation was determined by Mayor Kevin White.[187] 17-year-old white youths, Joseph Nardone and Stephen McGonagle, were charged with the shooting and received ten year sentences.[188]"
"January 7, 1980","Stamps, Arkansas",1,0,"16-year-old Evan Hampton, high school freshman student at Stamps High School, waited in a classroom for 19-year-old student Mike Sanders, whom he immediately killed. Hampton went to the principal's office, turning in the gun and waiting for his arrest by police.[189]"
"March 20, 1980","Dallas, Texas",1,0,"49-year-old fifth grade teacher, Rosie Pearson, was killed in J. Leslie Patton School by an unknown assailant.[190]"
"March 26, 1980","Big Rapids, Michigan",1,0,"Business professor Robert Brauer was killed in class by his 20-year-old student, Thomas Kakonis, at Ferris State College; Kakonis had failed an exam in his class. Kakonis is the son of an associate dean at the college.[191]"
"October 31, 1980","Hueytown, Alabama",1,1,"17-year-old Rudy Farmer, pulled out a .22 caliber pistol and wounded a fellow student in the art room of Hueytown High School, he then turned his gun on himself.[192]"
"January 27, 1981","Fayetteville, Arkansas",1,1,"19-year-old former freshman, James Howard Taylor, brought a 12-gauge single-shot shotgun into the Delta Delta Delta sorority house on the University of Arkansas campus. He entered the house at 5:45 p.m. and terrorized an initiation dinner. After attempting to negotiate a surrender, he was shot by police when he aimed his shot gun into the dining room.[193]"
"April 17, 1981","Ann Arbor, Michigan",2,0,"As students fled their rooms, after a homemade firebomb set a minor blaze on the sixth floor hallway of Bursley Hall dormitory, 22-year-old psychology student, Leo E. Kelly Jr., fired a sawn-off 12-gauge shotgun at his University of Michigan schoolmates at point-blank range. 19-year-old pre-medical student, Edward Siwik, and 21-year-old resident advisor, Douglas C. McGreaham, died at hospitals a few hours later. Kelly had been dismissed from UM once and was on the verge of another dismissal because of falling grades.[194][195] In 1982, he was convicted on two counts of first-degree murder and sentenced to life.[196]"
"December 16, 1981","Portland, Oregon",2,0,"Shortly before noon in Engineering Hall on the school's campus in north Portland, 34-year-old University of Portland night janitor, John C. Holbrook, killed 37-year-old engineering teacher, Brian D. Massey, before taking his own life.[197]"
"March 19, 1982","Las Vegas, Nevada",1,2,"17-year-old Valley High School student, Patrick Lizotte, killed his teacher Clarence Pigott and wounded two students.[164][198]"
"April 7, 1982","Littleton, Colorado",1,0,"13-year-old Deer Creek Junior High School student, Scott Darwin Michael, was killed by 14-year-old classmate, Jason Price Rocha. Rocha was tried as an adult and sentenced to twelve years, plus one year of parole.[199]"
"November 12, 1982","Jackson, Mississippi",2,0,"18-year-old school dropout, James Hartzog, killed his girlfriend, 17-year-old Faye Williams in her algebra class at Wingfield High School. Hartzog then took his own life.[200]"
"January 20, 1983","St. Louis County, Missouri",2,1,"Eighth grade Parkway South Middle School student David F. Lawler entered a study hall classroom and opened fire, killing 15-year-old Randall Koger, and injuring 15-year-old Greg Saffo. Lawler then took his own life.[164][198]"
"February 24, 1984","Los Angeles, California",2,12,Tyrone Mitchell killed two people and wounded twelve others when shooting at students leaving 49th Street Elementary School.[164]
"April 20, 1984","Detroit, Michigan",1,0,"13-year-old Kelly Crittendon, was accidentally killed by two classmates in a classroom at the Precious Blood School.[201]"
"May 17, 1984","Pleasant Hill, Iowa",2,0,"17-year-old student, Todd Dunahoo, killed 16-year-old Valerie Rockafellow in the hallway at Southeast Polk High School, then turned the gun on himself.[202]"
"October 24, 1984","Celina, Ohio",1,0,"45-year-old Shirley Shindeldecker, killed school bus driver 54-year-old Gene Green, as he stopped to pick up the son of Shindeldecker's estranged husband. After serving nineteen months of her sentence, Shindeldecker was found innocent by reason of insanity, and released.[203]"
"January 21, 1985","Goddard, Kansas",1,3,"Armed with a rifle and a handgun, 14-year-old James Alan Kearbey, killed principal, James McGee, and wounded two teachers and a student at Goddard Junior High School.[164][198][204]"
"October 18, 1985","Detroit, Michigan",0,6,"Murray-Wright High School shooting: During half-time of the homecoming football game between Northwestern and Murray-Wright high schools, a youth opened fire with a shotgun, injuring six students with whom he had fought earlier in the day.[205]"
"November 27, 1985","Spanaway, Washington",3,0,"14-year-old Heather Smith, killed 15-year-old Gordon Pickett, who was her ex-boyfriend, and 14-year-old Christopher Ricco, in the gymnasium at Spanaway Junior High School. She later took her own life.[206]"
"December 3, 1985","Concord, New Hampshire",1,0,"At Concord High School, Louis Cartier, a 16-year-old dropout, entered the school with a shotgun and took students hostage, 18-year-old Patrick Lena Lena and 16-year-old Scott Hayes. Responding police officers fatally shot him after he aimed at football coach, Don LeBrun.[207][208]"
"December 10, 1985","Portland, Connecticut",1,2,"After being suspended for refusing to take off his hat while at school, 13-year-old student Floyd Warmsley pulled out a firearm at Portland Junior High School, shooting and wounding the 53-year-old school secretary Lynn Haddad, and killing 36-year-old janitor David Bangston.[209][210]"
"March 6, 1986","Dolton, Illinois",0,1,"At about 9:40 a.m., as 52-year-old math teacher Norma Cooper`s third-period algebra class was beginning in a second-floor classroom in the C Building at Thornridge High School, she was shot in the shoulder by a freshman student, with a large-caliber handgun, registered to the youth`s father, a security guard. He is charged with attempted murder, unlawful use of a weapon and aggravated battery. The freshman, a resident of Harvey, was enrolled in the class and apparently had recently received poor grades.[211]"
"April 29, 1986","Senath, Missouri",1,0,"A new student, 16-year-old Ritchie Overman, killed studious 15-year-old Leslie Lynn Wyatt, using a 20-gauge shotgun, in front of twenty-six ""totally horrified"" science class students and teacher Sheila Adams, at Senath-Hornersville High School.[212][213]"
"May 9, 1986","Fayetteville, North Carolina",0,3,A 17-year-old student shot three classmates at Pine Forest High School with a .25-caliber handgun wounding them. One student was critically injured and treated for a neck wound.[214]
"May 16, 1986","Cokeville, Wyoming",2,74,"Cokeville Elementary School hostage crisis: 43-year-old former town marshal David Young, and his 47-year-old wife, Doris Young, took 136 children and eighteen adults hostage at Cokeville Elementary School.[164][215][216]"
"December 4, 1986","Lewistown, Montana",1,3,"14-year-old Kristofer Hans intended to shoot his French teacher at Fergus High School, for a failing grade. Instead, Henrietta Smith, who was substituting for LaVonne Simonfy, was shot in the face and died.[217] Hans fired several other shots as he fled, wounding vice principal John Moffatt,[218] and two students.[177] He then ran about a mile to his home, where he was arrested after the police surrounded his house. A classmate said Hans had repeatedly threatened to kill Ms. Simonfy, saying, ""I'm going to blow Simonfy's head off.""[219] He was charged as an adult, convicted and sentenced to 206 years in prison.[164][220]"
"February 4, 1987","Northridge, California",2,0,"35-year-old associate professor of Computer Science Djamshid (Amir) Asgari was confronted in the Engineering Building of California State University, Northridge by 25-year-old graduate student Fawwaz Abdin. Abdin was angry about a low grade Asgari had given him a year earlier, which caused him to be put on academic probation. After Asgari refused to change his grade, Abdin shot him twice, then himself. Asgari later died at the Northridge Hospital.[221]"
"March 2, 1987","De Kalb, Missouri",2,0,"After constant teasing about his weight, 12-year-old honors student Nathan Ferris killed a 13-year-old classmate, Timothy Perrin, after he bullied him, then turned the gun on himself.[164][198][222]"
"April 16, 1987","Detroit, Michigan",1,2,"Murray-Wright High School second shooting: A ninth-grade student at Murray-Wright High School killed 17-year-old Chester Jackson, a student athlete, and wounded 17-year-old Damon Matthews, and 18-year-old Tomeka Turner.[223]"
"September 28, 1987","Lansing, Illinois",0,1,"After being kicked off the soccer team for smoking on school grounds, 16-year-old student Blake Docter, of Illiana Christian High School wounded 44-year-old John Hoogewerf in the chest, the teacher who had reported him for smoking.[224]"
"December 16, 1987","Katy, Texas",1,0,"After being refused a date from his classmate, 15 year-old Ramesh Guzman Tumalad shot and killed himself with a .357 Magnum revolver before 23 of his fellow freshman Algebra students at Mayde Creek High School. The evening prior to the shooting, the boy discussed committing suicide to the girl after she informed school administration of his obsession with her.[225]"
"February 11, 1988","Largo, Florida",1,2,"Pinellas Park_High shooting: 15-year-old students, Jason Harless and Jason McCoy, took stolen .38-caliber revolvers to Pinellas Park High School. Harless shot two assistant principals and a student-teacher inside the school's cafeteria. 53-year-old Richard Allen died from his injuries, Nancy Blackwelder and intern Joseph Bloznalis were wounded.[164][198][226]"
"May 20, 1988","Winnetka, Illinois",1,5,"30-year-old Laurie Dann, killed 8-year-old Nick Corwin, inside Hubbard Woods School. Five additional students were wounded. Dann later committed suicide after taking hostages in a nearby home.[164][198][227]"
"July 10, 1988","Milwaukee, Wisconsin",0,1,"25-year-old Robin Jenkins, was shot in the elbow after a basketball game turned violent about 7:45 p.m.at Siefert Elementary School. A 28-year-old man was taken into custody the following day.[228]"
"September 26, 1988","Greenwood, South Carolina",2,9,"Oakland Elementary School shooting: 19-year-old James William Wilson entered Oakland Elementary School and started firing shots in the cafeteria. Two students were wounded and a first-grade teacher. After reloading his gun in a girls' restroom, he was confronted by physical education teacher, Kat Finkbeiner, who tried to stop him; she was wounded twice. He then entered a third-grade classroom and shot toward the students, killing 8-year-olds Shequila Tawoon Bradley and Tequila Maria Thomas, and wounding five others.[164][198][229]"
"November 22, 1988","Abilene, Texas",0,1,"16-year-old student Mason Staggs shot Cooper High School teacher, Rick Maloney in the face with a pistol, severely injuring the teacher. Staggs left the school and went fishing.[230]"
"December 16, 1988","Virginia Beach, Virginia",1,1,"At Atlantic Shores Christian School, 16-year-old student Nicholas Elliott shot two teachers with a Mac-10 9-millimeter machine pistol, killing 41-year-old Karen Farley, and critically wounding 37-year-old Sam Marino, then began firing on a classroom full of students before the gun jammed and any students were hit.[198][231][232]"
"January 17, 1989","Stockton, California",6,32,"Stockton schoolyard shooting: 24-year-old Patrick Edward Purdy fatally shot five children and wounded 32 others at the Cleveland Elementary School, before taking his own life. The victims were children of refugees from Southeast Asia. Purdy had a history of violence, alcoholism and drug addiction, and criminality.[232][233]"
"February 10, 1989","Kearns, Utah",0,0,"At Thomas Jefferson Junior High School, a 12-year-old boy fired a handgun at a vice principal, William Crumbaugh. No one was injured.[234]"
"December 5, 1989","McKeesport, Pennsylvania",1,1,"While riding the school bus, 16-year-old Serra Catholic High School student, Robert Butler, shot 16-year-old schoolmate, Adam Ference, in the back of the head before fatally shooting himself.[235] Ference was in critical condition but survived.[236]"
"March 27, 1990","Brooklyn, New York",0,1,A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded.[237]
"September 11, 1990","San Antonio, Texas",0,3,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[238]"
"February 6, 1991","Donna, Texas",1,0,15-year-old Raul Calvo fatally shot himself while playing Russian roulette inside a biology classroom at Donna High School.[239]
"April 23, 1991","Compton, California",1,0,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[240]"
"September 18, 1991","Crosby, Texas",1,0,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School.[241]"
"November 1, 1991","Iowa City, Iowa",6,1,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[242][243][244][245]"
"November 25, 1991","Brooklyn, New York",1,0,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[232]"
"December 12, 1991","Kent, Ohio",1,0,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[246]"
"January 29, 1992","Kent, Ohio",0,1,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[247]"
"February 26, 1992","Brooklyn, New York",2,0,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[248] In 1993, he was sentenced to between 6⅔ and twenty years in prison. He was released on parole in 1998.[232]"
"May 1, 1992","Olivehurst, California",3,10,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[177][232]"
"October 19, 1992","The Bronx, New York",0,3,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[249]
"November 4, 1992","Detroit, Michigan",0,11,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[250]"
"January 6, 1993","Brentwood, New York",0,1,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[251]"
"January 18, 1993","Grayson, Kentucky",2,0,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[252]"
"February 22, 1993","Los Angeles, California",1,0,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[253]"
"April 15, 1993","Acushnet, Massachusetts",1,0,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[232]
"May 14, 1993","Irving, Texas",1,0,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[254][255]"
"May 24, 1993","Pennsburg, Pennsylvania",1,0,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[232][256]
"September 17, 1993","Sheridan, Wyoming",1,4,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[257]"
"November 4, 1993","New Britain, Connecticut",1,0,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School.[258] Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[259]"
"December 1, 1993","Wauwatosa, Wisconsin",1,0,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.[260] McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[232] His sentence was upheld by the state Court of Appeals in April 1997.[261]"
"January 24, 1994","Columbia, South Carolina",1,0,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[262]"
"January 31, 1994","Seattle, Washington",1,0,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[263]"
"February 18, 1994","Spartanburg, South Carolina",0,1,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[264]"
"March 1, 1994","Boonville, Missouri",2,0,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[265]"
"April 12, 1994","Butte, Montana",1,0,"10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[232][255]"
"April 21, 1994","Nashville, Tennessee",1,0,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[266]"
"October 12, 1994","Greensboro, North Carolina",1,1,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[177][267][268]"
"October 17, 1994","Chicago, Illinois",0,1,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[269]"
"November 7, 1994","Wickliffe, Ohio",1,4,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[232][255][270]"
"December 14, 1994","Albany, New York",0,1,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[271][272][273][274]"
"January 12, 1995","Seattle, Washington",0,2,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.[275]
"September 29, 1995","Tavares, Florida",1,0,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[276]"
"October 12, 1995","Blackville, South Carolina",2,1,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School.[232][255][277][278]"
"November 15, 1995","Lynnville, Tennessee",2,1,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.[232][277][279]"
"January 19, 1996","Washington, D.C.",1,0,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[232]"
"February 2, 1996","Moses Lake, Washington",3,1,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison.[279][280]"
